PropertyID,PropertyType,TenureType,GFASqm,Region,AgeOfPropertyYears,MRTProximity,TenantMix,BuildingGrade,GreenMarkCertified,FloorToCeilingHeightM,ExistingLeaseTermRemainingYears,OccupancyRatePct,MonthlyRentPerSqmSGD,NOI_SGD,CapRatePct,ValuationSGD,PricePerSqmSGD,ValuationMethodology,ValuationDate
SG-COM-FQQ3TE,Industrial/Warehouse,999-year Leasehold,500.0,Rest of Central Region,32,>800m,Light manufacturing,Standard,False,12.4,5,83.6,22.58,90609.02,6.6,1372864.0,2745.73,Comparable Sales Approach (cross-checked with Income Capitalization),2025-01-13T01:57:12.513364+08:00
SG-COM-5FZJEG,Retail/Shop,60-year Leasehold,495.8,Outside Central Region,0,>800m,F&B anchor,Prime,False,3.3,6,86.8,67.96,280770.1,5.52,5086415.0,10259.01,Income Capitalization Approach,2025-06-28T01:24:25.513364+08:00
SG-COM-79V36M,Industrial/Warehouse,Freehold,16934.2,Rest of Central Region,27,>800m,Light manufacturing,Standard,True,7.3,2,88.2,17.55,2516411.28,6.65,37840771.0,2234.58,Comparable Sales Approach (cross-checked with Income Capitalization),2025-08-27T10:03:43.513364+08:00
SG-COM-1SGTBV,Retail/Shop,Freehold,113.7,Rest of Central Region,26,>800m,Fashion & lifestyle mix,Standard,False,4.3,6,76.3,97.51,81209.23,4.64,1750199.0,15393.13,Income Capitalization Approach,2025-10-14T13:06:01.513364+08:00
SG-COM-JDZMQD,Business Park/Mixed-Use,99-year Leasehold,5146.5,Rest of Central Region,8,>800m,Mixed office-industrial,Prime,False,5.2,1,95.4,46.54,2193602.66,5.24,41862646.0,8134.2,Income Capitalization Approach,2024-11-23T13:54:21.513364+08:00
SG-COM-C7VOX0,Industrial/Warehouse,99-year Leasehold,4840.2,Outside Central Region,25,Within 400m,Logistics/warehousing,Prime,False,10.7,9,85.8,14.95,596023.0,7.49,7957583.0,1644.06,Comparable Sales Approach (cross-checked with Income Capitalization),2026-01-18T05:37:49.513364+08:00
SG-COM-E7XLJD,Industrial/Warehouse,Freehold,1963.5,Rest of Central Region,0,Within 400m,Logistics/warehousing,Standard,False,11.3,6,91.3,22.51,387390.0,6.56,5905335.0,3007.56,Comparable Sales Approach (cross-checked with Income Capitalization),2025-07-10T09:03:57.513364+08:00
SG-COM-JMHYJR,Office,99-year Leasehold,10919.8,Core Central Region,10,>800m,Single major tenant (MNC),Grade A,True,3.2,6,93.8,119.09,11710192.95,3.38,346455413.0,31727.27,Income Capitalization Approach,2025-05-16T20:29:00.513364+08:00
SG-COM-UCGCYZ,Retail/Shop,99-year Leasehold,136.9,Outside Central Region,12,400m-800m,Fashion & lifestyle mix,Standard,True,2.7,2,90.7,74.09,88316.44,5.01,1762803.0,12876.57,Income Capitalization Approach,2024-11-13T14:42:13.513364+08:00
SG-COM-E03DE2,Office,99-year Leasehold,2597.7,Core Central Region,25,Within 400m,Multi-tenanted corporates,Grade A,False,3.4,9,88.3,102.58,2258830.41,3.03,74548858.0,28698.02,Income Capitalization Approach,2026-01-23T23:16:26.513364+08:00
SG-COM-LMVCPM,Office,999-year Leasehold,15000.0,Outside Central Region,1,400m-800m,SME mixed tenants,Grade B,True,3.0,9,99.5,38.68,5542070.4,4.7,117916391.0,7861.09,Income Capitalization Approach,2024-09-10T15:28:03.513364+08:00
SG-COM-30KXOR,Industrial/Warehouse,99-year Leasehold,4321.6,Outside Central Region,15,Within 400m,Logistics/warehousing,Basic,True,10.1,8,85.0,14.26,502868.29,6.58,7642375.0,1768.41,Comparable Sales Approach (cross-checked with Income Capitalization),2026-01-05T09:35:51.513364+08:00
SG-COM-0KUPXN,Industrial/Warehouse,99-year Leasehold,687.2,Rest of Central Region,0,>800m,Data centre/specialized use,Basic,True,7.4,7,89.6,20.52,121294.12,6.42,1889317.0,2749.3,Comparable Sales Approach (cross-checked with Income Capitalization),2026-05-30T17:12:55.513364+08:00
SG-COM-7ODRIQ,Business Park/Mixed-Use,99-year Leasehold,7672.8,Outside Central Region,3,>800m,Tech/R&D tenants,Standard,False,4.7,7,95.0,37.68,2636693.27,6.01,43871768.0,5717.83,Income Capitalization Approach,2026-02-26T23:31:29.513364+08:00
SG-COM-7DBKPE,Office,Freehold,4520.7,Outside Central Region,18,>800m,SME mixed tenants,Grade B,False,2.6,3,97.8,31.24,1325948.94,4.76,27856070.0,6161.89,Income Capitalization Approach,2025-04-04T07:31:20.513364+08:00
SG-COM-ZVZP7Y,Retail/Shop,99-year Leasehold,99.8,Core Central Region,11,Within 400m,F&B anchor,Standard,True,3.6,2,95.6,219.87,201384.32,3.56,5656863.0,56681.99,Income Capitalization Approach,2025-08-02T02:09:12.513364+08:00
SG-COM-7DYMGG,Retail/Shop,999-year Leasehold,388.4,Outside Central Region,6,>800m,Convenience/neighbourhood retail,Prime,True,3.7,2,90.1,92.05,309242.4,5.2,5946969.0,15311.45,Income Capitalization Approach,2024-11-05T21:37:49.513364+08:00
SG-COM-HDQ1QE,Office,99-year Leasehold,3938.9,Outside Central Region,17,Within 400m,Multi-tenanted corporates,Grade B,False,2.9,1,94.9,40.64,1458364.55,4.88,29884519.0,7587.02,Income Capitalization Approach,2025-03-31T10:41:14.513364+08:00
SG-COM-ZG5NAK,Office,99-year Leasehold,764.8,Outside Central Region,42,400m-800m,Multi-tenanted corporates,Grade C,False,2.6,5,99.8,39.04,286061.53,4.53,6314824.0,8256.83,Income Capitalization Approach,2025-05-01T22:16:24.513364+08:00
SG-COM-37P9IP,Retail/Shop,99-year Leasehold,349.0,Outside Central Region,21,Within 400m,Convenience/neighbourhood retail,Basic,False,4.5,9,97.9,41.94,137564.94,5.03,2734889.0,7836.36,Income Capitalization Approach,2025-05-27T19:46:05.513364+08:00
SG-COM-QHNRZR,Office,99-year Leasehold,570.7,Rest of Central Region,11,>800m,SME mixed tenants,Grade B,False,3.9,10,76.4,60.44,252986.25,4.5,5621917.0,9850.91,Income Capitalization Approach,2025-08-31T20:48:31.513364+08:00
SG-COM-DQ4A9E,Industrial/Warehouse,99-year Leasehold,1993.6,Rest of Central Region,2,Within 400m,Data centre/specialized use,Standard,False,8.5,3,96.8,17.36,321613.55,6.78,4743563.0,2379.4,Comparable Sales Approach (cross-checked with Income Capitalization),2026-06-13T20:34:53.513364+08:00
SG-COM-AFJM3U,Retail/Shop,Freehold,213.1,Core Central Region,26,>800m,Fashion & lifestyle mix,Prime,True,2.7,5,97.8,164.08,328283.6,4.02,8166259.0,38321.25,Income Capitalization Approach,2026-01-27T14:47:13.513364+08:00
SG-COM-W5EI81,Industrial/Warehouse,99-year Leasehold,5140.7,Rest of Central Region,33,Within 400m,Light manufacturing,Standard,False,10.3,6,75.6,16.85,628659.08,6.59,9539592.0,1855.7,Comparable Sales Approach (cross-checked with Income Capitalization),2025-09-24T10:44:04.513364+08:00
SG-COM-CINBUX,Industrial/Warehouse,Freehold,4328.8,Outside Central Region,13,400m-800m,Light manufacturing,Standard,True,10.5,8,86.9,14.28,515687.66,7.02,7345978.0,1697.0,Comparable Sales Approach (cross-checked with Income Capitalization),2026-07-14T12:51:34.513364+08:00
SG-COM-MHP7Z7,Office,99-year Leasehold,1486.2,Outside Central Region,18,>800m,Multi-tenanted corporates,Grade C,False,3.4,3,71.5,32.86,335213.96,4.61,7271452.0,4892.65,Income Capitalization Approach,2024-11-05T06:58:55.513364+08:00
SG-COM-TDCHSH,Industrial/Warehouse,99-year Leasehold,2421.8,Rest of Central Region,32,Within 400m,Light manufacturing,Standard,False,7.1,2,82.8,23.1,444684.33,6.19,7183915.0,2966.35,Comparable Sales Approach (cross-checked with Income Capitalization),2026-01-09T10:40:52.513364+08:00
SG-COM-L6BCO1,Industrial/Warehouse,60-year Leasehold,3346.1,Rest of Central Region,9,400m-800m,Logistics/warehousing,Standard,False,6.7,3,73.2,15.49,364227.43,6.76,5387980.0,1610.23,Comparable Sales Approach (cross-checked with Income Capitalization),2025-01-25T08:53:57.513364+08:00
SG-COM-3KKU5G,Retail/Shop,Freehold,148.2,Outside Central Region,9,400m-800m,Convenience/neighbourhood retail,Standard,False,3.1,3,65.3,78.94,73338.11,5.08,1443664.0,9741.32,Income Capitalization Approach,2025-08-30T00:52:03.513364+08:00
SG-COM-63JYWA,Office,99-year Leasehold,1126.3,Rest of Central Region,12,Within 400m,Single major tenant (MNC),Grade B,True,3.4,1,96.8,51.11,534941.83,4.0,13373546.0,11873.88,Income Capitalization Approach,2025-12-02T18:41:29.513364+08:00
SG-COM-OICQZT,Industrial/Warehouse,99-year Leasehold,7191.6,Outside Central Region,17,>800m,Data centre/specialized use,Standard,False,11.5,1,95.4,17.81,1173029.82,6.93,16926837.0,2353.7,Comparable Sales Approach (cross-checked with Income Capitalization),2025-06-13T13:21:58.513364+08:00
SG-COM-D3CNU7,Office,60-year Leasehold,825.7,Outside Central Region,11,400m-800m,SME mixed tenants,Grade C,True,2.6,5,88.7,34.03,239264.95,5.16,4636918.0,5615.74,Income Capitalization Approach,2025-01-18T23:20:34.513364+08:00
SG-COM-1GP4I6,Office,99-year Leasehold,1191.4,Core Central Region,13,Within 400m,Multi-tenanted corporates,Grade B,False,3.4,1,84.5,88.18,852227.67,3.24,26303323.0,22077.66,Income Capitalization Approach,2025-12-19T15:10:19.513364+08:00
SG-COM-TWX8YO,Office,60-year Leasehold,1120.8,Core Central Region,12,Within 400m,Single major tenant (MNC),Grade A,True,3.1,7,98.6,88.91,943250.14,3.74,25220592.0,22502.31,Income Capitalization Approach,2026-08-02T04:11:07.513364+08:00
SG-COM-VZVA6J,Industrial/Warehouse,Freehold,5029.2,Outside Central Region,20,Within 400m,Light manufacturing,Standard,True,11.0,8,75.7,13.88,507289.05,7.19,7055481.0,1402.9,Comparable Sales Approach (cross-checked with Income Capitalization),2025-05-01T02:34:41.513364+08:00
SG-COM-XUE5C8,Industrial/Warehouse,99-year Leasehold,500.0,Rest of Central Region,37,>800m,Data centre/specialized use,Standard,False,11.6,9,91.3,24.73,108376.75,6.65,1629726.0,3259.45,Comparable Sales Approach (cross-checked with Income Capitalization),2024-10-28T21:59:16.513364+08:00
SG-COM-7U8462,Industrial/Warehouse,Freehold,2421.7,Outside Central Region,31,Within 400m,Logistics/warehousing,Basic,False,12.7,2,71.8,16.19,270248.24,7.19,3758668.0,1552.08,Comparable Sales Approach (cross-checked with Income Capitalization),2025-12-13T16:14:20.513364+08:00
SG-COM-715EPR,Industrial/Warehouse,99-year Leasehold,2486.6,Outside Central Region,13,400m-800m,Light manufacturing,Standard,True,9.3,10,95.9,16.42,375897.05,6.51,5774148.0,2322.11,Comparable Sales Approach (cross-checked with Income Capitalization),2026-07-26T14:04:16.513364+08:00
SG-COM-6RP2XV,Retail/Shop,Freehold,291.5,Core Central Region,22,Within 400m,Fashion & lifestyle mix,Standard,False,3.8,8,73.9,211.29,436951.44,3.64,12004160.0,41180.65,Income Capitalization Approach,2025-06-28T22:07:02.513364+08:00
SG-COM-63Z8BT,Retail/Shop,Freehold,2000.0,Rest of Central Region,27,Within 400m,F&B anchor,Basic,True,3.3,7,95.2,73.3,1339806.72,4.29,31230926.0,15615.46,Income Capitalization Approach,2026-03-25T17:39:59.513364+08:00
SG-COM-B2EU2W,Office,999-year Leasehold,752.9,Outside Central Region,8,400m-800m,SME mixed tenants,Grade B,True,2.9,3,92.6,31.85,213171.41,4.51,4726639.0,6277.91,Income Capitalization Approach,2024-10-07T11:18:33.513364+08:00
SG-COM-CR2863,Office,Freehold,2419.9,Outside Central Region,16,>800m,Multi-tenanted corporates,Grade C,False,3.2,4,80.4,31.25,583679.88,5.02,11627089.0,4804.78,Income Capitalization Approach,2025-06-26T22:35:55.513364+08:00
SG-COM-L1GLKR,Industrial/Warehouse,Freehold,698.9,Outside Central Region,13,>800m,Logistics/warehousing,Basic,True,6.0,8,89.6,11.6,69735.24,6.91,1009193.0,1443.97,Comparable Sales Approach (cross-checked with Income Capitalization),2025-05-19T02:34:22.513364+08:00
SG-COM-5567B9,Retail/Shop,99-year Leasehold,219.8,Rest of Central Region,20,Within 400m,Convenience/neighbourhood retail,Standard,True,2.7,6,86.0,82.24,149238.36,4.83,3089821.0,14057.42,Income Capitalization Approach,2024-10-11T03:00:45.513364+08:00
SG-COM-50C0YD,Retail/Shop,99-year Leasehold,746.0,Outside Central Region,16,>800m,Convenience/neighbourhood retail,Prime,False,4.0,8,95.8,65.8,451441.48,5.5,8208027.0,11002.72,Income Capitalization Approach,2025-07-09T19:46:35.513364+08:00
SG-COM-H1GMV5,Industrial/Warehouse,99-year Leasehold,849.1,Rest of Central Region,21,400m-800m,Light manufacturing,Standard,False,11.9,7,88.1,21.23,152460.02,6.41,2378471.0,2801.17,Comparable Sales Approach (cross-checked with Income Capitalization),2025-05-04T05:20:28.513364+08:00
SG-COM-KA474R,Retail/Shop,99-year Leasehold,235.1,Rest of Central Region,14,400m-800m,Convenience/neighbourhood retail,Prime,True,3.5,1,75.3,112.0,190342.98,4.73,4024164.0,17116.82,Income Capitalization Approach,2025-10-03T03:08:37.513364+08:00
SG-COM-ZEWVWY,Retail/Shop,60-year Leasehold,648.3,Outside Central Region,9,>800m,Fashion & lifestyle mix,Basic,True,3.0,2,46.9,31.4,91653.65,5.59,1508432.0,2326.75,Income Capitalization Approach,2024-11-21T16:50:58.513364+08:00
SG-COM-62BZ0T,Retail/Shop,99-year Leasehold,483.6,Rest of Central Region,24,400m-800m,Fashion & lifestyle mix,Basic,False,2.9,9,77.0,103.93,371525.97,4.74,7838101.0,16207.82,Income Capitalization Approach,2024-10-08T21:53:11.513364+08:00
SG-COM-WCJ5A9,Office,999-year Leasehold,681.0,Outside Central Region,6,400m-800m,Multi-tenanted corporates,Grade C,False,2.6,7,86.5,33.44,189104.0,4.64,4075517.0,5984.61,Income Capitalization Approach,2025-11-02T06:34:51.513364+08:00
SG-COM-I2HBV1,Office,99-year Leasehold,1288.4,Core Central Region,10,>800m,Single major tenant (MNC),Grade A,True,3.1,6,78.5,110.47,1072595.47,3.75,28602546.0,22200.05,Income Capitalization Approach,2026-06-10T23:34:12.513364+08:00
SG-COM-DJK8LC,Retail/Shop,99-year Leasehold,290.7,Core Central Region,27,Within 400m,Convenience/neighbourhood retail,Basic,True,3.7,6,85.0,143.94,341441.8,4.04,8451530.0,29073.03,Income Capitalization Approach,2026-03-03T02:42:07.513364+08:00
SG-COM-9DRGJ1,Office,99-year Leasehold,449.0,Rest of Central Region,31,400m-800m,SME mixed tenants,Grade B,True,2.9,6,86.6,55.06,205528.32,4.16,4940585.0,11003.53,Income Capitalization Approach,2025-04-24T07:50:00.513364+08:00
SG-COM-EXU0FM,Retail/Shop,Freehold,497.5,Outside Central Region,17,>800m,Fashion & lifestyle mix,Prime,True,2.7,5,89.1,48.71,207281.31,5.62,3688280.0,7413.63,Income Capitalization Approach,2025-05-12T07:59:30.513364+08:00
SG-COM-A59QTE,Industrial/Warehouse,99-year Leasehold,10908.0,Rest of Central Region,47,400m-800m,Logistics/warehousing,Prime,False,8.7,10,85.9,18.71,1682996.89,6.33,26587629.0,2437.44,Comparable Sales Approach (cross-checked with Income Capitalization),2026-02-10T23:13:36.513364+08:00
SG-COM-51ETGV,Office,99-year Leasehold,1465.7,Outside Central Region,13,400m-800m,SME mixed tenants,Grade C,True,2.7,7,99.1,29.6,412744.87,4.6,8972715.0,6121.8,Income Capitalization Approach,2026-01-22T22:07:18.513364+08:00
SG-COM-XNPZFB,Office,99-year Leasehold,1605.5,Core Central Region,22,Within 400m,SME mixed tenants,Grade C,False,2.6,6,79.1,88.7,1081388.25,3.61,29955353.0,18657.96,Income Capitalization Approach,2025-03-27T00:56:59.513364+08:00
SG-COM-ORKPD0,Office,Freehold,563.9,Outside Central Region,13,>800m,Single major tenant (MNC),Grade C,True,2.8,10,81.0,40.95,179561.1,5.14,3493407.0,6195.08,Income Capitalization Approach,2024-12-06T02:01:45.513364+08:00
SG-COM-1JXIOL,Office,99-year Leasehold,1427.1,Rest of Central Region,21,400m-800m,SME mixed tenants,Grade B,True,2.9,2,77.0,48.69,513636.81,3.98,12905447.0,9043.13,Income Capitalization Approach,2026-05-21T13:17:04.513364+08:00
SG-COM-8RWH7Y,Industrial/Warehouse,60-year Leasehold,1180.9,Outside Central Region,20,Within 400m,Light manufacturing,Basic,False,12.5,8,83.0,13.58,127779.8,6.52,1959813.0,1659.59,Comparable Sales Approach (cross-checked with Income Capitalization),2025-06-09T14:48:46.513364+08:00
SG-COM-DLSP2U,Retail/Shop,99-year Leasehold,778.2,Outside Central Region,12,>800m,F&B anchor,Basic,False,3.7,3,97.2,61.45,446221.62,5.2,8581185.0,11026.97,Income Capitalization Approach,2025-02-18T23:59:51.513364+08:00
SG-COM-UN4ZZX,Industrial/Warehouse,99-year Leasehold,1598.1,Outside Central Region,9,Within 400m,Light manufacturing,Standard,False,7.4,1,99.3,18.61,283511.58,7.05,4021441.0,2516.39,Comparable Sales Approach (cross-checked with Income Capitalization),2026-03-22T10:01:58.513364+08:00
SG-COM-X1ISEN,Industrial/Warehouse,999-year Leasehold,1097.0,Rest of Central Region,9,Within 400m,Light manufacturing,Basic,True,10.9,9,48.5,21.19,108230.72,6.53,1524843.0,1390.01,Comparable Sales Approach (cross-checked with Income Capitalization),2025-04-16T05:10:50.513364+08:00
SG-COM-KHTPQ5,Retail/Shop,60-year Leasehold,314.8,Core Central Region,21,400m-800m,Convenience/neighbourhood retail,Prime,False,5.3,8,65.2,214.71,423063.76,3.78,11192163.0,35553.25,Income Capitalization Approach,2026-05-27T10:21:07.513364+08:00
SG-COM-NE2H9X,Industrial/Warehouse,999-year Leasehold,3689.7,Outside Central Region,17,Within 400m,Light manufacturing,Basic,True,6.9,5,76.8,16.29,443143.71,7.09,6250264.0,1693.98,Comparable Sales Approach (cross-checked with Income Capitalization),2025-11-03T22:31:56.513364+08:00
SG-COM-JU76OB,Office,99-year Leasehold,1226.6,Outside Central Region,12,Within 400m,SME mixed tenants,Grade C,True,3.2,2,65.4,38.39,295644.67,4.66,6344306.0,5172.27,Income Capitalization Approach,2024-11-01T18:50:17.513364+08:00
SG-COM-C5X0Z1,Office,Freehold,884.8,Outside Central Region,0,>800m,Multi-tenanted corporates,Grade C,True,2.9,3,64.5,26.1,142993.59,4.83,2960530.0,3345.99,Income Capitalization Approach,2025-05-08T08:35:02.513364+08:00
SG-COM-SNIL1A,Office,60-year Leasehold,892.3,Outside Central Region,14,>800m,Multi-tenanted corporates,Grade C,False,2.6,5,78.2,24.38,163313.69,5.01,3259754.0,3653.2,Income Capitalization Approach,2025-01-16T00:10:38.513364+08:00
SG-COM-F2XFBI,Industrial/Warehouse,Freehold,3227.2,Outside Central Region,23,Within 400m,Light manufacturing,Prime,True,12.0,9,90.1,16.59,463093.08,6.52,7102655.0,2200.87,Comparable Sales Approach (cross-checked with Income Capitalization),2025-05-08T20:56:01.513364+08:00
SG-COM-EJ35KK,Retail/Shop,99-year Leasehold,258.0,Outside Central Region,7,>800m,F&B anchor,Prime,True,2.8,10,46.1,49.76,56816.21,5.57,938437.0,3637.35,Income Capitalization Approach,2025-06-04T16:22:20.513364+08:00
SG-COM-3PH0R6,Office,99-year Leasehold,2004.2,Core Central Region,5,Within 400m,Multi-tenanted corporates,Grade C,True,2.8,10,71.7,79.45,1096037.34,3.07,35701542.0,17813.36,Income Capitalization Approach,2026-07-09T02:35:27.513364+08:00
SG-COM-528TTA,Retail/Shop,99-year Leasehold,507.8,Rest of Central Region,29,>800m,Fashion & lifestyle mix,Basic,False,4.5,1,99.1,94.15,454839.22,4.27,10651972.0,20976.71,Income Capitalization Approach,2026-05-29T11:10:47.513364+08:00
SG-COM-GF7JWO,Office,Freehold,1374.0,Outside Central Region,11,>800m,SME mixed tenants,Grade B,False,3.0,1,82.3,44.83,486661.0,4.76,10223971.0,7441.03,Income Capitalization Approach,2025-03-24T10:56:25.513364+08:00
SG-COM-1N7SIO,Industrial/Warehouse,999-year Leasehold,16957.1,Outside Central Region,8,400m-800m,Light manufacturing,Basic,True,6.0,6,65.2,15.74,1670610.24,6.51,25662216.0,1513.36,Comparable Sales Approach (cross-checked with Income Capitalization),2025-07-01T12:39:47.513364+08:00
SG-COM-N0LB29,Retail/Shop,99-year Leasehold,1099.4,Core Central Region,27,Within 400m,Fashion & lifestyle mix,Prime,False,4.2,6,88.3,325.72,3035512.99,3.59,84554679.0,76909.84,Income Capitalization Approach,2026-05-29T10:34:32.513364+08:00
SG-COM-J4BMAO,Retail/Shop,99-year Leasehold,98.0,Outside Central Region,21,>800m,F&B anchor,Standard,True,3.1,3,80.2,64.17,48417.65,5.42,893315.0,9115.46,Income Capitalization Approach,2024-12-02T21:34:29.513364+08:00
SG-COM-V847XO,Office,99-year Leasehold,3171.2,Outside Central Region,20,>800m,SME mixed tenants,Grade B,False,3.0,5,93.8,44.04,1257607.2,4.91,25613181.0,8076.81,Income Capitalization Approach,2025-07-18T03:51:26.513364+08:00
SG-COM-6C39AX,Retail/Shop,99-year Leasehold,108.2,Outside Central Region,12,400m-800m,Convenience/neighbourhood retail,Basic,True,3.3,10,97.9,44.75,45506.58,5.06,899340.0,8311.83,Income Capitalization Approach,2025-11-10T22:11:05.513364+08:00
SG-COM-5Y9JW3,Retail/Shop,Freehold,924.8,Core Central Region,14,Within 400m,F&B anchor,Basic,True,3.2,7,92.6,203.03,1669130.36,4.18,39931348.0,43178.36,Income Capitalization Approach,2026-02-19T09:20:31.513364+08:00
SG-COM-CU8Q30,Office,99-year Leasehold,527.0,Outside Central Region,30,400m-800m,SME mixed tenants,Grade B,True,3.7,3,86.4,46.64,203870.38,4.91,4152146.0,7878.83,Income Capitalization Approach,2025-01-26T04:26:18.513364+08:00
SG-COM-JNRPVX,Office,99-year Leasehold,1131.4,Core Central Region,1,Within 400m,Single major tenant (MNC),Grade B,True,2.6,3,88.0,86.15,823427.49,3.37,24434050.0,21596.3,Income Capitalization Approach,2026-08-19T05:07:20.513364+08:00
SG-COM-OXX83U,Business Park/Mixed-Use,99-year Leasehold,1822.2,Core Central Region,6,Within 400m,Mixed office-industrial,Prime,True,4.5,9,90.8,78.7,1250051.36,4.38,28539985.0,15662.38,Income Capitalization Approach,2026-06-29T18:49:06.513364+08:00
SG-COM-GLLK8T,Business Park/Mixed-Use,99-year Leasehold,4215.9,Outside Central Region,17,>800m,Tech/R&D tenants,Basic,True,5.6,10,79.2,33.76,1082154.21,5.69,19018527.0,4511.14,Income Capitalization Approach,2024-10-19T07:24:14.513364+08:00
